size,LinkedList,SkipList
1000,16000,64000
2000,32000,128000
3000,48000,192000
4000,64000,256000
5000,80000,320000
6000,96000,384000
7000,112000,448000
8000,128000,512000
9000,144000,576000
10000,160000,640000
