Size,LinkedList,SkipList
0,0,0
1000,0.001765,0.000617
2000,0.009907,0.001831
3000,0.021543,0.002669
4000,0.044397,0.004034
5000,0.06666,0.007435
6000,0.141516,0.010396
7000,0.204653,0.018726
8000,0.276956,0.024069
9000,0.479713,0.040903
10000,0.486462,0.040817
