Size,LinkedList,SkipList
0,0,0
1000,0.001824,0.000473
2000,0.007629,0.001221
3000,0.016363,0.002771
4000,0.031621,0.003095
5000,0.099369,0.007193
6000,0.153184,0.010395
7000,0.200897,0.014535
8000,0.402952,0.030509
9000,0.357241,0.028764
10000,0.473808,0.042523
